timestamp,open,high,low,close,volume
1735703999999,3336.58,3368.02,3334.76,3354.34,174527.965
1735718399999,3354.35,3355.77,3335.46,3345.84,142619.663
1735732799999,3345.83,3348.00,3312.62,3340.06,283676.062
1735747199999,3340.06,3359.09,3327.00,3352.07,258804.255
1735761599999,3352.06,3364.30,3321.11,3356.23,219892.779
1735775999999,3356.21,3374.14,3351.00,3359.36,191759.116
1735790399999,3359.35,3405.00,3353.50,3388.00,298784.114
1735804799999,3388.01,3427.70,3387.40,3419.69,300874.409
1735819199999,3419.70,3476.17,3414.18,3470.57,402906.955
1735833599999,3470.58,3511.14,3439.57,3462.76,744897.911
1735847999999,3462.75,3488.87,3428.00,3462.32,452605.787
1735862399999,3462.32,3474.90,3420.00,3454.83,210011.105
1735876799999,3454.83,3476.48,3442.10,3469.33,237589.606
1735891199999,3469.33,3470.10,3431.01,3432.62,224937.145
1735905599999,3432.62,3466.54,3421.56,3464.73,235019.049
1735919999999,3464.74,3578.19,3460.00,3564.32,826976.603
1735934399999,3564.32,3630.00,3564.31,3621.91,690547.819
1735948799999,3621.90,3623.21,3594.22,3607.89,275757.552
1735963199999,3607.90,3619.90,3581.44,3597.19,202783.463
1735977599999,3597.19,3609.83,3583.11,3593.04,158721.532
1735991999999,3593.05,3609.54,3570.66,3601.16,262095.459
1736006399999,3601.17,3664.00,3589.54,3606.44,649965.775
1736020799999,3606.44,3643.73,3600.30,3629.91,219313.517
1736035199999,3629.92,3670.00,3629.91,3655.99,236302.857
1736049599999,3655.98,3674.71,3627.77,3636.61,178497.371
1736063999999,3636.61,3648.09,3626.83,3630.38,109673.226
1736078399999,3630.37,3632.10,3602.08,3612.56,259595.339
1736092799999,3612.56,3637.79,3592.14,3628.45,343813.853
1736107199999,3628.45,3647.42,3611.25,3636.92,212145.933
1736121599999,3636.91,3656.29,3627.33,3634.96,166347.983
1736135999999,3634.96,3684.25,3609.00,3663.93,439461.924
1736150399999,3663.93,3698.00,3640.84,3649.39,340687.514
1736164799999,3649.39,3663.08,3631.34,3653.71,246668.531
1736179199999,3653.71,3714.00,3620.74,3712.99,809441.740
1736193599999,3712.99,3744.28,3653.88,3686.47,648021.032
1736207999999,3686.46,3702.99,3665.38,3685.72,201781.217
1736222399999,3685.72,3700.31,3661.97,3681.49,200582.524
1736236799999,3681.49,3685.53,3657.40,3666.61,147741.475
1736251199999,3666.61,3678.52,3625.00,3638.55,322768.190
1736265599999,3638.55,3644.90,3409.00,3461.21,1785243.892
1736279999999,3461.21,3490.89,3363.00,3384.36,1071232.073
1736294399999,3384.36,3412.82,3353.59,3379.38,535089.353
1736308799999,3379.37,3413.55,3340.01,3359.32,460814.225
1736323199999,3359.33,3372.62,3306.01,3353.19,663845.618
1736337599999,3353.19,3376.54,3321.60,3348.50,475095.283
1736351999999,3348.50,3384.90,3331.00,3346.00,620307.901
1736366399999,3346.00,3347.07,3206.54,3279.47,1432501.970
1736380799999,3279.46,3333.65,3265.00,3325.38,306693.700
1736395199999,3325.38,3355.85,3305.52,3323.60,410830.923
1736409599999,3323.60,3342.40,3280.64,3288.18,347192.790
1736423999999,3288.17,3326.88,3264.77,3300.35,509098.417
1736438399999,3300.34,3337.64,3208.34,3318.79,960677.736
1736452799999,3318.80,3326.39,3180.80,3193.65,796218.361
1736467199999,3193.66,3238.44,3156.00,3218.24,615844.420
1736481599999,3218.24,3259.24,3212.62,3253.05,268734.137
1736495999999,3253.05,3312.55,3241.12,3294.65,376479.570
1736510399999,3294.65,3320.00,3286.36,3309.74,281295.657
1736524799999,3309.75,3315.96,3193.43,3243.70,1260730.298
1736539199999,3243.69,3323.00,3230.18,3293.80,597122.705
1736553599999,3293.80,3293.80,3255.19,3265.52,176432.213
1736567999999,3265.51,3268.98,3230.01,3235.98,180637.121
1736582399999,3235.98,3249.50,3223.56,3234.66,152866.022
1736596799999,3234.66,3279.68,3217.36,3272.70,317779.465
1736611199999,3272.69,3282.50,3256.97,3270.07,187501.190
1736625599999,3270.06,3283.17,3257.54,3277.47,141999.883
1736639999999,3277.46,3319.30,3274.61,3281.84,202024.150
1736654399999,3281.85,3290.35,3273.00,3285.27,98733.386
1736668799999,3285.27,3288.61,3262.00,3265.74,119890.329
1736683199999,3265.73,3270.60,3222.40,3251.78,372994.428
1736697599999,3251.78,3294.91,3246.51,3284.39,322335.734
1736711999999,3284.39,3299.00,3267.23,3279.12,189826.451
1736726399999,3279.11,3288.57,3232.58,3265.70,245076.152
1736740799999,3265.70,3338.32,3234.01,3241.14,753425.342
1736755199999,3241.14,3259.77,3179.49,3200.53,526464.971
1736769599999,3200.54,3205.00,3055.00,3056.82,1253297.471
1736783999999,3056.81,3090.30,2900.00,3047.37,2183311.581
1736798399999,3047.38,3058.80,2985.00,3023.97,803120.658
1736812799999,3023.96,3142.28,3010.27,3136.14,587100.307
1736827199999,3136.13,3174.23,3123.47,3157.58,360723.860
1736841599999,3157.58,3189.00,3156.00,3170.39,309052.916
1736855999999,3170.39,3255.84,3168.02,3216.22,611908.825
1736870399999,3216.21,3232.99,3177.23,3197.87,773056.996
1736884799999,3197.87,3235.00,3171.02,3212.80,431259.957
1736899199999,3212.79,3239.46,3193.02,3223.99,228402.810
1736913599999,3223.99,3244.15,3203.40,3239.99,295811.449
1736927999999,3239.99,3251.69,3213.55,3231.30,282172.228
1736942399999,3231.30,3247.64,3185.33,3198.40,371300.983
1736956799999,3198.41,3353.00,3185.09,3332.95,1142496.701
1736971199999,3332.96,3442.08,3322.83,3433.76,715985.660
1736985599999,3433.76,3472.93,3416.75,3449.80,484145.747
1736999999999,3449.81,3458.99,3343.76,3362.10,514376.981
1737014399999,3362.10,3389.89,3360.22,3382.42,227268.453
1737028799999,3382.42,3384.00,3297.70,3349.75,693450.315
1737043199999,3349.75,3364.06,3263.06,3332.00,967866.641
